t[s]	thtr[deg]	psir[deg]	phir[deg]	CA[-]	Clp[1/rad]	Cld[1/rad]	Cmq[1/rad]	Cnr[1/rad]	CNa[1/rad]	CYb[1/rad]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	Ixy[kgm2]	Ixz[kgm2]	Iyz[kgm2]	Ixxp[kgm2]	Iyyp[kgm2]	Izzp[kgm2]	Ixyp[kgm2]	Ixzp[kgm2]	Iyzp[kgm2]	massa[kg]	pdin[Pa]	U[m/s]	Xcg[m]	Ycg[m]	Zcg[m]	Xcp[m]	Ycp[m]	Zcp[m]	mp[kg/s]	ax_net[m/s2]	ay_net[m/s2]	az_net[m/s2]	altitude[km]	mach[-]	Rec[km]	long[deg]	gcLat[deg]	gdLat[deg]	gravXV[m/s2]	gravYV[m/s2]	gravZV[m/s2]	gravXB[m/s2]	gravYB[m/s2]	gravZB[m/s2]	AoA[deg]	AoAtotal[deg] 
2.6000000E-003	-9.9631959E-003	-1.1856690E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8797988E+003	7.6704795E+004	7.6704795E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643054E+004	0.0000000E+000	0.0000000E+000	-8.0359766E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
2.8600000E-003	-9.9639679E-003	-1.1856042E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8797957E+003	7.6704663E+004	7.6704663E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643005E+004	0.0000000E+000	0.0000000E+000	-8.0359743E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
3.1200000E-003	-9.9648685E-003	-1.1855286E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8797926E+003	7.6704532E+004	7.6704532E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642955E+004	0.0000000E+000	0.0000000E+000	-8.0359719E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
3.3800000E-003	-9.9656405E-003	-1.1854638E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.8845013E+003	3.8797894E+003	7.6704400E+004	7.6704400E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642905E+004	0.0000000E+000	0.0000000E+000	-8.0359696E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.2046542E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
3.6400000E-003	-9.9664125E-003	-1.1853991E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	4.2109467E+003	3.8797863E+003	7.6704268E+004	7.6704268E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642856E+004	0.0000000E+000	0.0000000E+000	-8.0359672E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	2.6918190E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
3.9000000E-003	-9.9673132E-003	-1.1853235E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	6.5373920E+003	3.8797832E+003	7.6704137E+004	7.6704137E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642806E+004	0.0000000E+000	0.0000000E+000	-8.0359649E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	4.1789849E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
4.1600000E-003	-9.9680852E-003	-1.1852587E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	8.7986927E+003	3.8797801E+003	7.6704005E+004	7.6704005E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642757E+004	0.0000000E+000	0.0000000E+000	-8.0359626E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	5.6245087E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
4.4200000E-003	-9.9689858E-003	-1.1851831E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.1035993E+004	3.8797770E+003	7.6703874E+004	7.6703874E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642707E+004	0.0000000E+000	0.0000000E+000	-8.0359602E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	7.0546914E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
4.6800000E-003	-9.9697578E-003	-1.1851183E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.3273293E+004	3.8797738E+003	7.6703742E+004	7.6703742E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642658E+004	0.0000000E+000	0.0000000E+000	-8.0359579E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	8.4848753E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
4.9400000E-003	-9.9706585E-003	-1.1850428E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.5450274E+004	3.8797707E+003	7.6703611E+004	7.6703611E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642608E+004	0.0000000E+000	0.0000000E+000	-8.0359555E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	9.8765019E-001	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
5.2000000E-003	-9.9714305E-003	-1.1849780E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.7605032E+004	3.8797676E+003	7.6703479E+004	7.6703479E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642558E+004	0.0000000E+000	0.0000000E+000	-8.0359532E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.1253924E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
5.4600000E-003	-9.9723311E-003	-1.1849024E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	1.9759790E+004	3.8797645E+003	7.6703348E+004	7.6703348E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642509E+004	0.0000000E+000	0.0000000E+000	-8.0359509E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.2631347E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
5.7200000E-003	-9.9731031E-003	-1.1848376E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	2.1867362E+004	3.8797614E+003	7.6703216E+004	7.6703216E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642459E+004	0.0000000E+000	0.0000000E+000	-8.0359485E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.3978609E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
5.9800000E-003	-9.9740038E-003	-1.1847621E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	2.3945443E+004	3.8797582E+003	7.6703085E+004	7.6703085E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642410E+004	0.0000000E+000	0.0000000E+000	-8.0359462E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.5307020E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
6.2400000E-003	-9.9747758E-003	-1.1846973E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	2.6023524E+004	3.8797551E+003	7.6702953E+004	7.6702953E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642360E+004	0.0000000E+000	0.0000000E+000	-8.0359438E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.6635432E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
6.5000000E-003	-9.9756765E-003	-1.1846217E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	2.8092319E+004	3.8797520E+003	7.6702822E+004	7.6702822E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642310E+004	0.0000000E+000	0.0000000E+000	-8.0359415E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.7957910E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
6.7600000E-003	-9.9764485E-003	-1.1845569E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	3.0146258E+004	3.8797489E+003	7.6702690E+004	7.6702690E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5642261E+004	0.0000000E+000	0.0000000E+000	-8.0359392E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	1.9270893E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
